time,amount
12:24:00 AM,3
1:05:00 PM,3
8:28:00 PM,3
7:11:00 AM,3
12:54:00 AM,3
6:51:00 PM,3
10:08:00 AM,3
5:51:00 PM,3
1:06:00 AM,3
6:08:00 PM,3
3:20:00 PM,3
10:38:00 PM,3
5:09:00 PM,3
11:16:00 PM,3
3:55:00 PM,3
8:11:00 PM,3
11:57:00 PM,3
10:37:00 AM,3
11:52:00 PM,3
3:47:00 PM,3
2:05:00 AM,3
6:28:00 PM,3
10:17:00 PM,3
11:28:00 PM,3
9:23:00 AM,3
11:46:00 PM,3
12:14:00 AM,3
6:52:00 PM,3
4:47:00 AM,3
8:38:00 PM,3
12:32:00 AM,3
2:17:00 AM,3
2:18:00 PM,3
12:25:00 PM,3
12:23:00 PM,3
2:50:00 PM,3
3:05:00 PM,3
2:25:00 PM,3
12:02:00 PM,3
1:47:00 AM,3
11:55:00 AM,3
8:54:00 PM,3
10:21:00 AM,3
9:54:00 PM,3
7:51:00 PM,3
11:34:00 PM,3
12:57:00 AM,3
11:53:00 PM,3
1:42:00 AM,3
6:22:00 PM,3
10:54:00 PM,3
12:23:00 AM,3
3:25:00 PM,3
8:26:00 PM,3
6:12:00 PM,3
9:31:00 PM,3
10:32:00 PM,3
7:09:00 PM,3
5:03:00 AM,3
11:13:00 PM,3
6:54:00 PM,3
12:34:00 AM,3
8:51:00 PM,3
12:03:00 PM,3
10:18:00 PM,3
9:09:00 PM,3
4:14:00 AM,3
3:32:00 PM,3
7:34:00 PM,3
8:07:00 PM,3
6:32:00 PM,3
6:53:00 PM,3
11:39:00 PM,3
11:33:00 PM,3
12:28:00 AM,3
8:37:00 AM,3
1:56:00 AM,3
1:12:00 AM,3
4:48:00 PM,3
12:36:00 AM,3
4:07:00 AM,3
8:41:00 PM,3
8:21:00 PM,3
8:35:00 AM,3
6:48:00 PM,3
9:39:00 PM,3
1:22:00 AM,3
12:48:00 AM,3
5:58:00 PM,3
12:50:00 PM,3
2:27:00 AM,3
1:28:00 AM,3
7:07:00 PM,3
2:36:00 AM,3
11:03:00 PM,3
5:13:00 AM,3
12:47:00 AM,3
8:47:00 PM,3
4:05:00 PM,3
11:49:00 PM,3
1:44:00 AM,3
8:17:00 AM,3
5:21:00 AM,3
12:13:00 AM,3
7:04:00 PM,3
12:37:00 AM,3
6:46:00 PM,3
11:07:00 PM,3
7:49:00 PM,3
10:35:00 AM,3
12:44:00 AM,3
12:56:00 AM,3
3:33:00 AM,3
5:17:00 AM,3
10:51:00 PM,3
1:13:00 AM,3
5:11:00 AM,3
10:47:00 PM,3
9:49:00 PM,2
3:24:00 AM,2
10:41:00 AM,2
12:22:00 AM,2
8:05:00 AM,2
2:14:00 AM,2
6:23:00 AM,2
10:31:00 PM,2
6:57:00 PM,2
11:08:00 PM,2
4:42:00 PM,2
9:53:00 PM,2
12:29:00 AM,2
9:41:00 PM,2
2:42:00 AM,2
5:31:00 AM,2
1:58:00 AM,2
7:41:00 PM,2
3:35:00 PM,2
11:04:00 PM,2
9:58:00 AM,2
8:55:00 AM,2
12:19:00 AM,2
10:34:00 AM,2
3:46:00 AM,2
10:05:00 AM,2
2:03:00 PM,2
11:02:00 PM,2
1:53:00 AM,2
11:09:00 PM,2
12:53:00 AM,2
11:36:00 PM,2
11:11:00 AM,2
2:24:00 PM,2
12:58:00 PM,2
3:48:00 AM,2
1:50:00 PM,2
10:06:00 PM,2
6:46:00 AM,2
3:26:00 PM,2
3:12:00 AM,2
10:07:00 PM,2
9:17:00 PM,2
2:36:00 PM,2
2:13:00 AM,2
12:52:00 PM,2
11:32:00 AM,2
9:59:00 PM,2
11:10:00 AM,2
12:12:00 PM,2
11:29:00 PM,2
11:51:00 PM,2
12:58:00 AM,2
11:14:00 PM,2
10:43:00 AM,2
2:55:00 PM,2
5:39:00 PM,2
7:59:00 AM,2
4:39:00 AM,2
10:39:00 PM,2
4:04:00 AM,2
7:57:00 PM,2
11:17:00 AM,2
3:33:00 PM,2
11:05:00 AM,2
5:48:00 PM,2
7:22:00 PM,2
5:49:00 PM,2
3:32:00 AM,2
4:17:00 AM,2
9:12:00 AM,2
12:48:00 PM,2
11:35:00 AM,2
1:27:00 PM,2
8:40:00 AM,2
12:42:00 AM,2
1:17:00 AM,2
10:22:00 AM,2
9:34:00 PM,2
9:13:00 PM,2
2:22:00 AM,2
11:16:00 AM,2
4:37:00 AM,2
1:29:00 AM,2
11:48:00 PM,2
10:37:00 PM,2
1:43:00 AM,2
5:24:00 AM,2
2:33:00 AM,2
1:17:00 PM,2
8:14:00 PM,2
3:43:00 AM,2
7:44:00 PM,2
5:23:00 AM,2
5:18:00 PM,2
6:39:00 AM,2
1:35:00 PM,2
7:36:00 PM,2
4:34:00 AM,2
8:57:00 PM,2
12:22:00 PM,2
11:24:00 AM,2
5:19:00 AM,2
7:02:00 AM,2
10:57:00 AM,2
8:01:00 PM,2
6:24:00 PM,2
4:36:00 PM,2
11:22:00 AM,2
11:18:00 AM,2
10:13:00 PM,2
1:02:00 PM,2
9:26:00 PM,2
12:01:00 PM,2
5:38:00 AM,2
3:13:00 AM,2
10:49:00 PM,2
6:04:00 PM,2
4:22:00 PM,2
7:56:00 PM,2
1:23:00 AM,2
8:49:00 PM,2
9:32:00 AM,2
1:08:00 AM,2
8:03:00 AM,2
1:14:00 AM,2
4:51:00 AM,2
5:11:00 PM,2
8:44:00 PM,2
2:34:00 AM,2
4:55:00 PM,2
5:36:00 AM,2
5:56:00 AM,2
9:43:00 AM,2
6:02:00 PM,2
7:13:00 AM,2
10:21:00 PM,2
4:38:00 AM,2
12:08:00 PM,2
11:26:00 PM,2
6:09:00 PM,2
6:42:00 PM,2
7:27:00 PM,2
4:16:00 PM,2
9:06:00 AM,2
10:53:00 PM,2
7:06:00 PM,2
5:32:00 AM,2
7:08:00 PM,2
2:02:00 PM,2
4:31:00 PM,2
1:09:00 AM,2
4:18:00 AM,2
6:04:00 AM,2
3:38:00 AM,2
7:14:00 PM,2
11:25:00 AM,2
12:26:00 AM,2
11:32:00 PM,2
2:12:00 PM,2
5:24:00 PM,2
6:07:00 PM,2
10:27:00 PM,2
6:14:00 PM,2
6:47:00 AM,2
7:46:00 PM,2
6:41:00 PM,2
2:12:00 AM,2
4:59:00 PM,2
4:24:00 PM,2
6:11:00 PM,2
3:19:00 AM,2
8:22:00 AM,2
9:33:00 PM,2
7:29:00 PM,2
2:27:00 PM,2
7:22:00 AM,2
4:34:00 PM,2
8:25:00 AM,2
12:09:00 AM,2
1:57:00 AM,2
5:38:00 PM,2
4:19:00 AM,2
5:58:00 AM,2
12:17:00 AM,1
11:44:00 PM,1
2:01:00 PM,1
4:08:00 PM,1
4:52:00 AM,1
6:12:00 AM,1
12:36:00 PM,1
2:37:00 AM,1
10:23:00 AM,1
5:06:00 AM,1
7:12:00 AM,1
7:19:00 AM,1
5:09:00 AM,1
5:49:00 AM,1
11:27:00 AM,1
1:09:00 PM,1
9:57:00 AM,1
3:29:00 PM,1
7:01:00 AM,1
12:09:00 PM,1
2:32:00 PM,1
4:21:00 PM,1
4:43:00 AM,1
7:44:00 AM,1
7:38:00 AM,1
3:52:00 PM,1
4:47:00 PM,1
12:11:00 AM,1
5:57:00 AM,1
1:33:00 AM,1
10:55:00 AM,1
9:55:00 AM,1
10:59:00 PM,1
1:21:00 AM,1
5:26:00 PM,1
9:47:00 AM,1
5:47:00 AM,1
7:19:00 PM,1
12:16:00 AM,1
1:32:00 PM,1
12:38:00 PM,1
12:43:00 AM,1
4:27:00 AM,1
8:12:00 AM,1
12:18:00 PM,1
8:04:00 AM,1
3:28:00 AM,1
4:38:00 PM,1
10:19:00 AM,1
2:17:00 PM,1
2:38:00 AM,1
6:33:00 AM,1
4:31:00 AM,1
10:14:00 AM,1
10:51:00 AM,1
3:02:00 AM,1
4:12:00 PM,1
3:14:00 PM,1
3:39:00 PM,1
2:09:00 AM,1
5:27:00 PM,1
7:23:00 AM,1
1:33:00 PM,1
6:38:00 PM,1
10:12:00 AM,1
12:46:00 PM,1
6:22:00 AM,1
1:21:00 PM,1
4:57:00 PM,1
2:23:00 PM,1
9:03:00 AM,1
8:46:00 PM,1
11:19:00 PM,1
3:16:00 AM,1
9:31:00 AM,1
1:16:00 AM,1
10:07:00 AM,1
2:49:00 AM,1
3:56:00 PM,1
2:46:00 AM,1
5:06:00 PM,1
4:58:00 PM,1
10:58:00 PM,1
7:39:00 PM,1
7:43:00 AM,1
1:26:00 AM,1
12:33:00 AM,1
2:51:00 AM,1
5:53:00 PM,1
11:47:00 AM,1
4:48:00 AM,1
7:09:00 AM,1
3:52:00 AM,1
3:36:00 AM,1
2:47:00 PM,1
1:52:00 PM,1
12:39:00 PM,1
5:18:00 AM,1
1:47:00 PM,1
9:56:00 AM,1
4:23:00 AM,1
11:29:00 AM,1
9:26:00 AM,1
8:54:00 AM,1
2:57:00 PM,1
7:04:00 AM,1
10:56:00 AM,1
4:24:00 AM,1
5:28:00 PM,1
1:19:00 AM,1
3:17:00 AM,1
2:42:00 PM,1
8:26:00 AM,1
10:31:00 AM,1
3:04:00 AM,1
11:57:00 AM,1
4:21:00 AM,1
7:16:00 PM,1
5:12:00 AM,1
7:17:00 AM,1
6:56:00 PM,1
1:36:00 AM,1
3:23:00 PM,1
12:37:00 PM,1
3:57:00 PM,1
4:41:00 AM,1
3:22:00 PM,1
7:42:00 PM,1
3:27:00 AM,1
3:01:00 PM,1
8:13:00 AM,1
5:32:00 PM,1
4:44:00 AM,1
10:24:00 AM,1
9:21:00 AM,1
1:18:00 AM,1
8:38:00 AM,1
2:18:00 AM,1
